ticker,date,cds_spread_bps
AAPL,2018-03-31,4.806860538206601
AAPL,2018-06-30,5.242920630561296
AAPL,2018-09-30,5.192557331150352
AAPL,2018-12-31,5.371957042786259
AAPL,2019-03-31,5.404971720126185
AAPL,2019-06-30,5.131902304136562
AAPL,2019-09-30,5.041537748012676
AAPL,2019-12-31,4.953331899656276
AAPL,2020-03-31,5.095528144595851
AAPL,2020-06-30,5.408491892954679
AAPL,2020-09-30,4.889173946116378
AAPL,2020-12-31,4.962270462016726
AAPL,2021-03-31,4.803391314206976
AAPL,2021-06-30,4.773156536636217
AAPL,2021-09-30,4.557791110125895
AAPL,2021-12-31,4.676080468248986
AAPL,2022-03-31,5.0579401891825295
ABT,2018-03-31,5.135358790146883
ABT,2018-06-30,5.449391148143515
ABT,2018-09-30,5.415261487009969
ABT,2018-12-31,5.5123366084614664
ABT,2019-03-31,5.532329924406992
ABT,2019-06-30,5.355293137582469
ABT,2019-09-30,5.298747287701133
ABT,2019-12-31,5.21893481443117
ABT,2020-03-31,5.276511632177139
ABT,2020-06-30,5.580612309512025
ABT,2020-09-30,5.16065220353716
ABT,2020-12-31,5.119504601105612
ABT,2021-03-31,5.009655345176444
ABT,2021-06-30,5.039618671632537
ABT,2021-09-30,4.966512099123654
ABT,2021-12-31,5.042062002300114
ABT,2022-03-31,5.293502668155298
BA,2018-03-31,5.554891129936096
BA,2018-06-30,5.809223368636448
BA,2018-09-30,5.764393910826302
BA,2018-12-31,5.848912270236377
BA,2019-03-31,5.808375981936036
BA,2019-06-30,5.730956703273954
BA,2019-09-30,5.647875766249125
BA,2019-12-31,5.622118654883604
BA,2020-03-31,5.765280858436202
BA,2020-06-30,6.237261909674479
BA,2020-09-30,5.819702421335279
BA,2020-12-31,5.696592193781739
BA,2021-03-31,5.565234964042234
BA,2021-06-30,5.574720100930604
BA,2021-09-30,5.515758492108682
BA,2021-12-31,5.5798315645843415
BA,2022-03-31,5.7670243558917
BAC,2018-03-31,5.104578264019777
BAC,2018-06-30,5.471358918609777
BAC,2018-09-30,5.422973023841155
BAC,2018-12-31,5.495487948743835
BAC,2019-03-31,5.503266892174368
BAC,2019-06-30,5.363131081380584
BAC,2019-09-30,5.285475857943993
BAC,2019-12-31,5.22639625007746
BAC,2020-03-31,5.347714015857734
BAC,2020-06-30,5.764964042886898
BAC,2020-09-30,5.305626889879836
BAC,2020-12-31,5.154106384851019
BAC,2021-03-31,5.123308348551029
BAC,2021-06-30,5.0556472916349575
BAC,2021-09-30,4.9983962065797325
BAC,2021-12-31,5.077091269834556
BAC,2022-03-31,5.318938689395945
C,2018-03-31,5.250346399014067
C,2018-06-30,5.548612110826014
C,2018-09-30,5.553151102914199
C,2018-12-31,5.595438598115037
C,2019-03-31,5.616085820065687
C,2019-06-30,5.526617450562659
C,2019-09-30,5.426182806584778
C,2019-12-31,5.4161372278949305
C,2020-03-31,5.494063800457344
C,2020-06-30,5.939414549087151
C,2020-09-30,5.513454381081042
C,2020-12-31,5.329353990542802
C,2021-03-31,5.354908562931404
C,2021-06-30,5.189117695293733
C,2021-09-30,5.194662827302537
C,2021-12-31,5.230082692871736
C,2022-03-31,5.402652532180437
CAT,2018-03-31,5.231474656994977
CAT,2018-06-30,5.611420677628937
CAT,2018-09-30,5.57308943363882
CAT,2018-12-31,5.697110621818296
CAT,2019-03-31,5.6935623207431965
CAT,2019-06-30,5.507170532928049
CAT,2019-09-30,5.429375467697199
CAT,2019-12-31,5.366426017053568
CAT,2020-03-31,5.423342003238936
CAT,2020-06-30,5.693542217398702
CAT,2020-09-30,5.322174041681301
CAT,2020-12-31,5.219648610042721
CAT,2021-03-31,5.244997918278073
CAT,2021-06-30,5.19914934183434
CAT,2021-09-30,5.1050368172926746
CAT,2021-12-31,5.207148926978496
CAT,2022-03-31,5.4284015312468465
CCL,2018-03-31,5.514409089926809
CCL,2018-06-30,5.694340891214969
CCL,2018-09-30,5.701603867255851
CCL,2018-12-31,5.828456834170146
CCL,2019-03-31,5.983699143134334
