ticker,date,cds_spread_bps
AAPL,2018-03-31,121.34691049570532
AAPL,2018-06-30,188.22194354252872
AAPL,2018-09-30,178.9281008103546
AAPL,2018-12-31,214.2837752623209
AAPL,2019-03-31,221.5099278421567
AAPL,2019-06-30,168.33894601798457
AAPL,2019-09-30,153.70773371339075
AAPL,2019-12-31,140.6461292371293
AAPL,2020-03-31,162.29006261872777
AAPL,2020-06-30,222.2945814921857
AAPL,2020-09-30,131.84379258404246
AAPL,2020-12-31,141.9179175080602
AAPL,2021-03-31,120.92319706090954
AAPL,2021-06-30,117.292046443996
AAPL,2021-09-30,94.37257946293262
AAPL,2021-12-31,106.34849109086714
AAPL,2022-03-31,156.266243757835
ABT,2018-03-31,168.92527645361707
ABT,2018-06-30,231.61649379927655
ABT,2018-09-30,223.811323234217
ABT,2018-12-31,246.72929769853008
ABT,2019-03-31,251.73207219534385
ABT,2019-06-30,210.72603211421136
ABT,2019-09-30,199.08600271648805
ABT,2019-12-31,183.7372997244259
ABT,2020-03-31,194.6860583932102
ABT,2020-06-30,264.23396135267376
ABT,2020-09-30,173.27808332927808
ABT,2020-12-31,166.25249239433998
ABT,2021-03-31,148.85307966099927
ABT,2021-06-30,153.41112245665627
ABT,2021-09-30,142.52541092270337
ABT,2021-12-31,153.7888611699402
ABT,2022-03-31,198.0393747376185
BA,2018-03-31,257.4988202054902
BA,2018-06-30,332.3601271842815
BA,2018-09-30,317.74579710293983
BA,2018-12-31,345.8568886499029
BA,2019-03-31,332.077761899248
BA,2019-06-30,307.264044568935
BA,2019-09-30,282.6882052572046
BA,2019-12-31,275.4745172535561
BA,2020-03-31,318.0286333377656
BA,2020-06-30,510.4561787478864
BA,2020-09-30,335.87179285477737
BA,2020-12-31,296.8506522049566
BA,2021-03-31,260.18656595183904
BA,2021-06-30,262.67574271232894
BA,2021-09-30,247.5784505538145
BA,2021-12-31,264.0269621000216
BA,2022-03-31,318.58534411911336
BAC,2018-03-31,163.77456451359612
BAC,2018-06-30,236.7831011896357
BAC,2018-09-30,225.55166576665405
BAC,2018-12-31,242.59035677528644
BAC,2019-03-31,244.492621593599
BAC,2019-06-30,212.3920494003701
BAC,2019-09-30,196.4481183521939
BAC,2019-12-31,185.1208604535495
BAC,2020-03-31,209.12740050880828
BAC,2020-06-30,317.92757611514594
BAC,2020-09-30,200.4672606213668
BAC,2020-12-31,172.14101617261764
BAC,2021-03-31,166.8898901164879
BAC,2021-06-30,155.9060614615599
BAC,2021-09-30,147.1753258232297
BAC,2021-12-31,159.3070870547725
BAC,2022-03-31,203.167082277979
C,2018-03-31,189.63229186069887
C,2018-06-30,255.88078632238015
C,2018-09-30,257.04941637399725
C,2018-12-31,268.19569292718586
C,2019-03-31,273.81161321575104
C,2019-06-30,250.29246262413372
C,2019-09-30,226.28001569114943
C,2019-12-31,224.00828593293153
C,2020-03-31,242.24369489363292
C,2020-06-30,378.71256138599074
C,2020-09-30,247.00635754066997
C,2020-12-31,205.30465633959997
C,2021-03-31,210.64462330417555
C,2021-06-30,178.31027681710194
C,2021-09-30,179.30733783522905
C,2021-12-31,185.80825059218347
C,2022-03-31,220.99448343695383
CAT,2018-03-31,186.06846203541505
CAT,2018-06-30,272.5325636906565
CAT,2018-09-30,262.24612567947156
CAT,2018-12-31,297.00510636699124
CAT,2019-03-31,295.9495683185539
CAT,2019-06-30,245.45280949097216
