ticker,date,hist_volatility,rating,hy_oas,ig_oas,risk_free,usd_index,sector_Energy,sector_Financials,sector_Healthcare,sector_Industrials,sector_Technology,sector_Telecom,region_Northeast,region_South,region_Southeast,region_West
AAPL,2018-03-31,-0.2896318267830437,-1.7102667433759506,-0.6153472089606115,0.7162589943354332,1.1699069272935128,-2.2182746014837167,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
AAPL,2018-06-30,-0.26277796126383995,-1.7102667433759506,-0.6609101816736347,1.2036088282644817,1.3797256826136155,-1.34867633454009,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
AAPL,2018-09-30,-0.6196392909620754,-1.7102667433759506,-0.6624609316489767,1.2843382858233712,1.383847651353098,-0.34362510274301933,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
AAPL,2018-12-31,-0.041327056837333516,-1.7102667433759506,-0.040600648459981334,1.6590332418398739,1.5357270743606846,0.3366503263840908,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
AAPL,2019-03-31,0.5183869825447278,-1.7102667433759506,0.13308349788891996,1.3114078243312106,1.0332548537951025,-0.043103352338609756,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
AAPL,2019-06-30,-0.35687803971188525,-1.7102667433759506,-0.09051571151245794,0.720394496153241,0.6267408697958643,0.24696634626188108,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
AAPL,2019-09-30,-0.25505755866997853,-1.7102667433759506,-0.02855137456431563,0.09955994656232289,-0.07341275957511288,0.5936945680687649,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
AAPL,2019-12-31,-0.4309602078785951,-1.7102667433759506,-0.1527127143696441,-0.07062060987404382,-0.08122206981059417,0.5734176541521071,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
AAPL,2020-03-31,0.012707656017791323,-1.7102667433759506,1.0583180425281324,0.04417693456245132,-0.6338367850872862,1.0185608768212184,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
AAPL,2020-06-30,1.562924288110381,-1.7102667433759506,3.1100318329816536,0.037986870891856,-1.5106219113547208,2.370978632909195,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
AAPL,2020-09-30,0.16846082629167294,-1.7102667433759506,1.2891579123191876,-1.104108297194642,-1.5585060902629115,0.8830962280511567,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
AAPL,2020-12-31,0.5674332540003634,-1.7102667433759506,0.44865142568371275,-1.2735108431477336,-1.2816507108536543,-0.25460287686909827,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
AAPL,2021-03-31,0.041810001835406445,-1.7102667433759506,-0.5060546749051547,-1.2547985478276236,-0.6715009823636339,-0.7697447723344607,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
AAPL,2021-06-30,-0.18707601775835575,-1.7102667433759506,-0.8728201658041468,-1.128816683804485,-0.3415911276116129,-0.9481604770780102,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
